Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.43509E-9,0.000000644,0.00000223,1,0,0
7.37588E-9,0.000001381,0.000002556,0.997916667,0,0
1.44679E-8,0.000003659,0.000005013,0.99375,0,0
4.32296E-8,0.00001007,0.000014978,0.989583333,0,0
7.32639E-8,0.000028012,0.000025384,0.983333333,0,0
2.29987E-7,0.000051011,0.000079684,0.98125,0,0
5.50434E-7,0.00014931,0.000190699,0.977083333,0,0
1.98804E-6,0.000424673,0.000688589,0.972916667,0,0
2.29417E-6,0.00065409,0.000794577,0.970833333,0,0
6.15305E-6,0.001269395,0.002129665,0.96875,0,0
7.2169E-6,0.002650661,0.002497421,0.964583333,0,0
2.02675E-5,0.006378998,0.006997784,0.960416667,0,0
2.33037E-5,0.01103119,0.00804185,0.95625,0,0
4.56948E-5,0.028192308,0.015707881,0.945833333,0,0
7.21247E-5,0.053219836,0.024680424,0.9375,0,0
1.06844E-4,0.101414946,0.03634299,0.927083333,0,0
1.61554E-4,0.210324906,0.054438115,0.910416667,0,0
1.85535E-4,0.317363382,0.062262179,0.897916667,0,0
2.02064E-4,0.415776602,0.067617373,0.8875,0,0
2.14866E-4,0.520271397,0.071744066,0.877083333,0,0
2.26538E-4,0.608394633,0.07549051,0.86875,0,0
2.56159E-4,0.703936793,0.084930244,0.860416667,0,0
2.60162E-4,0.755648333,0.086198835,0.85625,0,0
2.69645E-4,0.809127263,0.0891964,0.852083333,0,0
2.80462E-4,0.919789548,0.092603378,0.84375,0,0
2.84988E-4,1.004931034,0.094025445,0.8375,0,0
2.88454E-4,1.119576708,0.095112592,0.829166667,0,0
3.02778E-4,1.20995507,0.099592669,0.822916667,0,0
3.12303E-4,1.302561764,0.102559347,0.816666667,0,0
3.18523E-4,1.428890968,0.104491143,0.808333333,0,0
3.22009E-4,1.524967633,0.105572386,0.802083333,0,0
3.54842E-4,1.763591746,0.115689773,0.7875,0.003968254,0
4.02047E-4,2.029352919,0.130035546,0.772916667,0.003968254,0
4.5969E-4,2.293385561,0.14723848,0.760416667,0.003968254,0
5.00844E-4,2.532032761,0.159312145,0.75,0.003968254,0
5.56119E-4,2.795614526,0.175259785,0.739583333,0.007936508,0
5.91665E-4,3.025925457,0.185355024,0.73125,0.007936508,0
6.26863E-4,3.271839706,0.195229812,0.722916667,0.007936508,0
6.59345E-4,3.529055927,0.20423615,0.714583333,0.011904762,0
6.92527E-4,3.801902464,0.213332794,0.70625,0.011904762,0
7.05715E-4,4.011806541,0.216919239,0.7,0.011904762,0
7.33117E-4,4.29978976,0.224318786,0.691666667,0.011904762,0
7.70516E-4,4.526546402,0.234305451,0.685416667,0.011904762,0
7.99448E-4,4.763310662,0.241942781,0.679166667,0.011904762,0
8.36576E-4,5.010115721,0.25163227,0.672916667,0.011904762,0
8.62738E-4,5.266041166,0.258385412,0.666666667,0.011904762,0
8.75599E-4,5.527776663,0.261682553,0.660416667,0.015873016,0
9.01253E-4,5.796154238,0.268216167,0.654166667,0.015873016,0
9.3336E-4,6.070910535,0.276311918,0.647916667,0.01984127,0
9.53809E-4,6.261124709,0.281421357,0.64375,0.023809524,0
9.82903E-4,6.552520587,0.288628586,0.6375,0.023809524,0
9.95972E-4,6.750640167,0.291842693,0.633333333,0.027777778,0
1.00616E-3,7.051218189,0.29433704,0.627083333,0.027777778,0
1.03999E-3,7.258401185,0.302560232,0.622916667,0.031746032,0
1.11321E-3,7.581530927,0.320033099,0.616666667,0.031746032,0
1.13557E-3,7.806798043,0.32527891,0.6125,0.031746032,0
1.17445E-3,8.03802541,0.334308445,0.608333333,0.035714286,0
1.28902E-3,8.291301433,0.360217479,0.604166667,0.043650794,0
1.31491E-3,8.554147178,0.365930646,0.6,0.043650794,0
1.32957E-3,8.81898852,0.369142764,0.595833333,0.047619048,0
1.40356E-3,9.093565888,0.385110199,0.591666667,0.047619048,0
1.42246E-3,9.377204539,0.389123471,0.5875,0.055555556,0
1.42273E-3,9.519477225,0.389179988,0.585416667,0.055555556,0
1.524E-3,9.817966415,0.410240953,0.58125,0.05952381,0
1.54618E-3,10.126481889,0.414756322,0.577083333,0.067460317,0
1.55265E-3,10.281747319,0.416068033,0.575,0.071428571,0
1.57939E-3,10.595529483,0.421451708,0.570833333,0.075396825,0
1.58786E-3,10.754315543,0.423147823,0.56875,0.075396825,0
1.59955E-3,11.074225288,0.425479212,0.5625,0.079365079,0
1.62001E-3,11.398021194,0.429536903,0.560416667,0.087301587,0
1.63429E-3,11.561449705,0.432352481,0.558333333,0.091269841,0
1.64739E-3,11.890075775,0.434924506,0.554166667,0.099206349,0
1.66547E-3,12.056623,0.438453382,0.552083333,0.099206349,0
1.70358E-3,12.397190375,0.445819345,0.547916667,0.103174603,0
1.70464E-3,12.567654775,0.446023433,0.545833333,0.107142857,0
1.75282E-3,12.915541279,0.455194265,0.541666667,0.111111111,0
1.76976E-3,13.092516885,0.4583814,0.539583333,0.115079365,0
1.77971E-3,13.270488095,0.460246558,0.5375,0.119047619,0
1.83382E-3,13.632561812,0.470270581,0.533333333,0.126984127,0
1.86102E-3,13.818663333,0.475239394,0.53125,0.126984127,0
1.87428E-3,14.006091022,0.477645119,0.529166667,0.130952381,0
1.8809E-3,14.381853753,0.478843139,0.525,0.134920635,0
1.89343E-3,14.571197023,0.481100609,0.522916667,0.134920635,0
1.90652E-3,14.76184914,0.483448467,0.520833333,0.138888889,0
1.94875E-3,15.148771506,0.490951725,0.516666667,0.146825397,0
1.96602E-3,15.345373529,0.493988421,0.514583333,0.150793651,0
1.98967E-3,15.544340472,0.498117782,0.5125,0.154761905,0
2.05678E-3,15.952522201,0.509654017,0.508333333,0.158730159,0
2.06482E-3,16.15900398,0.511017004,0.50625,0.158730159,0
2.07491E-3,16.366495127,0.512724139,0.504166667,0.162698413,0
2.10072E-3,16.576566665,0.517061287,0.502083333,0.162698413,0
2.12405E-3,16.78897183,0.520950421,0.5,0.162698413,0
2.13625E-3,17.215001944,0.522970787,0.495833333,0.170634921,0
2.16276E-3,17.431278234,0.527332942,0.49375,0.174603175,0
2.18133E-3,17.649410978,0.530363535,0.491666667,0.174603175,0
2.19412E-3,17.868823031,0.532440642,0.489583333,0.178571429,0
2.21659E-3,18.090481715,0.536066103,0.4875,0.178571429,0
2.22068E-3,18.312549315,0.536722954,0.485416667,0.178571429,0
2.22337E-3,18.534886478,0.537155448,0.483333333,0.178571429,0
2.23374E-3,18.75826079,0.538815726,0.48125,0.182539683,0
2.25029E-3,19.207628538,0.541451452,0.477083333,0.182539683,0
2.30078E-3,19.437706586,0.549404392,0.475,0.186507937,0
2.33824E-3,19.671530331,0.555214557,0.472916667,0.186507937,0
2.34439E-3,19.905969609,0.556162151,0.470833333,0.186507937,0
2.38836E-3,20.144805752,0.562872537,0.46875,0.19047619,0
2.40068E-3,20.384873402,0.564733778,0.466666667,0.19047619,0
2.41107E-3,20.625980398,0.566298429,0.464583333,0.19047619,0
2.41277E-3,20.867257492,0.566553961,0.4625,0.19047619,0
2.42651E-3,21.109908778,0.568612851,0.460416667,0.19047619,0
2.45309E-3,21.355217546,0.572566731,0.458333333,0.194444444,0
2.46217E-3,21.601434196,0.573909182,0.45625,0.198412698,0
2.46555E-3,21.84798898,0.574408092,0.454166667,0.202380952,0
2.47526E-3,22.095514729,0.57583748,0.452083333,0.206349206,0
2.53046E-3,22.348560294,0.583872639,0.45,0.206349206,0
2.54678E-3,22.603238256,0.586219612,0.447916667,0.206349206,0
2.64022E-3,22.867259826,0.599400889,0.445833333,0.206349206,0
2.66029E-3,23.13328908,0.602177913,0.44375,0.206349206,0
2.66642E-3,23.399930682,0.603021073,0.441666667,0.206349206,0
2.67152E-3,23.667082394,0.603722096,0.439583333,0.206349206,0
2.6771E-3,23.934792405,0.604487922,0.4375,0.21031746,0
2.69923E-3,24.204715153,0.607508638,0.435416667,0.214285714,0
2.71508E-3,24.476223333,0.609658789,0.433333333,0.214285714,0
2.75952E-3,24.752175306,0.615622865,0.43125,0.218253968,0
2.76632E-3,25.028806816,0.616526811,0.429166667,0.218253968,0
2.79869E-3,25.308675793,0.62080432,0.427083333,0.222222222,0
2.81096E-3,25.589771446,0.622412572,0.425,0.222222222,0
2.8146E-3,25.871231355,0.622888823,0.422916667,0.222222222,0
2.81552E-3,26.152783083,0.623008777,0.420833333,0.222222222,0
2.81552E-3,26.434334811,0.623008777,0.416666667,0.222222222,0
2.81736E-3,26.716070602,0.623249127,0.416666667,0.23015873,0
2.82272E-3,26.998342809,0.623948704,0.414583333,0.234126984,0
2.82446E-3,27.56306117,0.624175283,0.410416667,0.242063492,0
2.82777E-3,27.84583865,0.62460648,0.408333333,0.242063492,0
2.8366E-3,28.129498322,0.625752177,0.40625,0.242063492,0
2.85559E-3,28.415057221,0.62820684,0.404166667,0.242063492,0
2.86916E-3,28.701973441,0.629951245,0.402083333,0.246031746,0
2.87119E-3,28.989092773,0.630211576,0.4,0.246031746,0
2.87944E-3,29.564156265,0.631266885,0.395833333,0.253968254,0
2.88279E-3,29.852434851,0.631693902,0.39375,0.257936508,0
2.88886E-3,30.141320889,0.63246827,0.391666667,0.261904762,0
2.89219E-3,30.430540073,0.632892269,0.389583333,0.265873016,0
2.90382E-3,30.720922523,0.634368931,0.3875,0.265873016,0
2.92298E-3,31.013220556,0.636787663,0.385416667,0.265873016,0
2.92298E-3,31.597816622,0.636787663,0.379166667,0.265873016,0
2.92639E-3,31.890456056,0.637217053,0.379166667,0.277777778,0
2.92639E-3,32.475734924,0.637217053,0.372916667,0.277777778,0
2.93883E-3,32.769617482,0.638776283,0.372916667,0.28968254,0
2.95227E-3,33.064844228,0.640454737,0.370833333,0.293650794,0
2.95227E-3,33.360070974,0.640454737,0.366666667,0.293650794,0
2.95572E-3,33.655642828,0.640884405,0.366666667,0.301587302,0
2.98701E-3,33.954344243,0.644757419,0.364583333,0.305555556,0
2.99791E-3,34.552836304,0.646095584,0.360416667,0.313492063,0
3.00255E-3,34.853091073,0.646664246,0.358333333,0.317460317,0
3.00255E-3,35.453600611,0.646664246,0.352083333,0.317460317,0
3.03324E-3,35.756925082,0.650402425,0.352083333,0.329365079,0
3.03581E-3,36.060506102,0.650713045,0.35,0.329365079,0
3.04557E-3,36.365062996,0.65189208,0.347916667,0.329365079,0
3.04994E-3,36.670057182,0.652419115,0.345833333,0.329365079,0
3.05066E-3,36.975123265,0.65250569,0.34375,0.329365079,0
3.07256E-3,37.892511159,0.655132081,0.3375,0.341269841,0
3.07256E-3,39.121534078,0.655132081,0.327083333,0.341269841,0
3.10375E-3,39.431909351,0.658839595,0.327083333,0.361111111,0
3.10997E-3,39.742906446,0.65957384,0.325,0.365079365,0
3.14113E-3,40.05701948,0.663229396,0.322916667,0.365079365,0
3.16408E-3,40.373427829,0.665897082,0.320833333,0.369047619,0
3.1868E-3,40.692107582,0.668516174,0.31875,0.369047619,0
3.19412E-3,41.330199072,0.669355821,0.314583333,0.376984127,0
3.19412E-3,41.649610808,0.669355821,0.310416667,0.376984127,0
3.21359E-3,41.9709702,0.671579604,0.310416667,0.384920635,0
3.21671E-3,43.256719438,0.671934071,0.302083333,0.400793651,0
3.22505E-3,44.865908771,0.672880732,0.291666667,0.420634921,0
3.22578E-3,45.188486846,0.672963452,0.289583333,0.424603175,0
3.23437E-3,45.511924335,0.673935832,0.2875,0.428571429,0
3.23545E-3,45.835469482,0.674057438,0.285416667,0.432539683,0
3.23881E-3,46.159350376,0.674436389,0.283333333,0.436507937,0
3.23881E-3,46.48323127,0.674436389,0.279166667,0.436507937,0
3.24862E-3,46.80809278,0.675540675,0.279166667,0.444444444,0
3.26908E-3,47.13500033,0.677832702,0.277083333,0.448412698,0
3.26908E-3,47.788815429,0.677832702,0.270833333,0.448412698,0
3.27174E-3,48.115989627,0.678130214,0.270833333,0.46031746,0
3.28374E-3,48.444363704,0.679465576,0.26875,0.464285714,0
3.33079E-3,48.777442919,0.684648749,0.266666667,0.468253968,0
3.3426E-3,49.111703375,0.685936786,0.264583333,0.472222222,0
3.34415E-3,49.446117877,0.686104372,0.2625,0.476190476,0
3.35091E-3,49.781209195,0.686839614,0.260416667,0.476190476,0
3.38835E-3,50.120044566,0.690875871,0.258333333,0.48015873,0
3.41897E-3,50.800776451,0.694137237,0.254166667,0.488095238,0
3.41897E-3,51.826465996,0.694137237,0.245833333,0.488095238,0
3.42698E-3,52.169163808,0.694985248,0.245833333,0.503968254,0
3.42698E-3,52.51186162,0.694985248,0.241666667,0.503968254,0
3.43466E-3,52.855327334,0.695795709,0.241666667,0.511904762,0
3.43809E-3,53.199136104,0.696157085,0.239583333,0.511904762,0
3.44776E-3,54.231529844,0.697173856,0.233333333,0.523809524,0
3.44776E-3,54.921082239,0.697173856,0.227083333,0.523809524,0
3.45138E-3,55.266220071,0.697553062,0.227083333,0.535714286,0
3.47947E-3,56.304443075,0.700482952,0.220833333,0.547619048,0
3.49102E-3,56.653545525,0.701679307,0.21875,0.551587302,0
3.49954E-3,57.003499897,0.702558585,0.216666667,0.555555556,0
3.5069E-3,57.354189413,0.703315252,0.214583333,0.55952381,0
3.5442E-3,57.708609741,0.707125722,0.2125,0.563492063,0
3.559E-3,58.06450939,0.708623044,0.210416667,0.583333333,0
3.56515E-3,58.421024654,0.709243891,0.208333333,0.583333333,0
3.57113E-3,58.778137543,0.709845331,0.20625,0.587301587,0
3.61709E-3,59.139846495,0.714429346,0.204166667,0.591269841,0
3.62669E-3,59.864224541,0.715377788,0.2,0.599206349,0
3.63477E-3,60.227701442,0.716173312,0.197916667,0.603174603,0
3.64677E-3,60.592378823,0.71735143,0.195833333,0.603174603,0
3.68937E-3,60.961316059,0.721492614,0.19375,0.607142857,0
3.69971E-3,61.700224172,0.722488277,0.189583333,0.615079365,0
3.71441E-3,62.071664721,0.723897828,0.1875,0.619047619,0
3.73397E-3,62.445061894,0.725763305,0.185416667,0.619047619,0
3.74546E-3,62.819608345,0.726853163,0.183333333,0.623015873,0
3.75186E-3,63.943887159,0.727457686,0.177083333,0.634920635,0
3.75355E-3,65.444799556,0.727616995,0.16875,0.650793651,0
3.77319E-3,65.822118351,0.72946438,0.166666667,0.654761905,0
3.84273E-3,66.206391823,0.735905528,0.164583333,0.658730159,0
3.93599E-3,66.599991079,0.74430266,0.1625,0.662698413,0
3.94731E-3,67.38832098,0.745303054,0.158333333,0.670634921,0
3.97888E-3,67.786209274,0.748074445,0.15625,0.674603175,0
3.97888E-3,68.184097567,0.748074445,0.152083333,0.674603175,0
3.98885E-3,68.582982443,0.748942845,0.152083333,0.682539683,0
4.02473E-3,68.985455186,0.75204452,0.15,0.686507937,0
4.02473E-3,70.595346159,0.75204452,0.139583333,0.686507937,0
4.03228E-3,70.998574531,0.752692853,0.139583333,0.706349206,0
4.07089E-3,71.405663633,0.755979011,0.1375,0.71031746,0
4.07329E-3,71.812992169,0.756181367,0.135416667,0.718253968,0
4.07329E-3,75.071620456,0.756181367,0.116666667,0.718253968,0
4.08976E-3,75.480595969,0.757568761,0.116666667,0.753968254,0
4.10683E-3,75.891279425,0.758999175,0.114583333,0.757936508,0
4.10684E-3,76.712646559,0.75899936,0.110416667,0.765873016,0
4.11226E-3,77.123872531,0.759451766,0.108333333,0.76984127,0
4.11226E-3,79.180002389,0.759451766,0.095833333,0.76984127,0
4.14621E-3,79.594623386,0.762264815,0.095833333,0.793650794,0
4.14621E-3,80.42386538,0.762264815,0.089583333,0.793650794,0
4.18726E-3,80.842591061,0.765621978,0.089583333,0.805555556,0
4.18726E-3,82.098768102,0.765621978,0.08125,0.805555556,0
4.24041E-3,82.522809005,0.76989888,0.08125,0.821428571,0
4.24041E-3,82.946849907,0.76989888,0.077083333,0.821428571,0
4.27001E-3,83.37385123,0.772247055,0.077083333,0.829365079,0
4.2813E-3,83.801981707,0.773136363,0.075,0.833333333,0
4.30282E-3,84.232263594,0.774821186,0.072916667,0.837301587,0
4.30282E-3,84.66254548,0.774821186,0.06875,0.837301587,0
4.33219E-3,85.095764215,0.777100926,0.06875,0.845238095,0
4.35301E-3,85.964283817,0.778703192,0.064583333,0.853174603,0
4.35405E-3,86.399688609,0.778782864,0.0625,0.857142857,0
4.35405E-3,86.835093401,0.778782864,0.058333333,0.857142857,0
4.39601E-3,87.274694567,0.781976044,0.058333333,0.865079365,0
4.39601E-3,88.153896899,0.781976044,0.052083333,0.865079365,0
4.41033E-3,88.594929999,0.783055076,0.052083333,0.876984127,0
4.42937E-3,89.037866956,0.784481458,0.05,0.880952381,0
4.42937E-3,89.923740869,0.784481458,0.04375,0.880952381,0
4.52272E-3,90.376012381,0.791340414,0.04375,0.892857143,0
4.52272E-3,91.280555404,0.791340414,0.0375,0.892857143,0
4.58425E-3,91.738980368,0.795742105,0.0375,0.904761905,0
4.66015E-3,92.663420579,0.801043895,0.033333333,0.912698413,0
4.66015E-3,93.595451074,0.801043895,0.027083333,0.912698413,0
4.77662E-3,94.073112779,0.808912575,0.027083333,0.924603175,0
4.77696E-3,94.550808924,0.808935377,0.025,0.936507937,0
4.77696E-3,95.506201215,0.808935377,0.01875,0.936507937,0
4.7771E-3,95.983911043,0.808944435,0.01875,0.948412698,0
4.88271E-3,96.472182228,0.815809449,0.016666667,0.964285714,0
4.88271E-3,98.425266968,0.815809449,0.00625,0.964285714,0
4.9424E-3,98.919507113,0.819579669,0.00625,0.984126984,0
5.1356E-3,99.433067573,0.831261971,0.004166667,0.988095238,0
5.66932E-3,100,0.859750674,0.002083333,0.988095238,0
5.66932E-3,100,0.859750674,0.002083333,1,0
